Job Title | Education | age | sex | Online Edu | Edu Match
Nurses | Degree or equivalent | 44 | Female | Degree or equivalent | 1
Authors, writers | Degree or equivalent | 51 | Male | Degree or equivalent | 1
Bio scientists and biochemists | Degree or equivalent | 63 | Female | Other qualification | 0
Design and development engineers | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Info & communication technol mngers | Degree or equivalent | 29 | Female | Other qualification | 0
Chartered and certified accountants | Degree or equivalent | 34 | Female | Degree or equivalent | 1
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 34 | Male | Other qualification | 0
Prison serv off (below princ off) | GCSE grades A*-C or equivalent | 47 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 20 | Female | Other qualification | 0
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 40 | Male | Other qualification | 0
Company secretaries | GCSE grades A*-C or equivalent | 80 | Female | Degree or equivalent | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 79 | Male | Other qualification | 0
Financial managers & chartered secs | Degree or equivalent | 53 | Female | Degree or equivalent | 1
Physts, geologists & meteorologists | Degree or equivalent | 58 | Male | Other qualification | 0
Sports and leisure assistants | GCE A level or equivalent | 18 | Male | GCSE grades A*-C or equivalent | 0
Property, housing and land managers | GCE A level or equivalent | 57 | Male | Other qualification | 0
Occupl hygnists & health sfty offs | GCSE grades A*-C or equivalent | 53 | Female | Other qualification | 0
Sales and retail assistants | Higher education | 19 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 63 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | Other qualification | 60 | Female | Other qualification | 1
Call centre agents & operators | GCSE grades A*-C or equivalent | 36 | Male | Other qualification | 0
General office assistants or clerks | Other qualification | 52 | Female | GCSE grades A*-C or equivalent | 0
Police offcrs (sergeant and below) | Other qualification | 56 | Male | Other qualification | 1
Legal secretaries | GCE A level or equivalent | 24 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 53 | Female | Other qualification | 0
Managers in construction | GCE A level or equivalent | 54 | Male | Other qualification | 0
Broadcasting associate prfssnals | Degree or equivalent | 50 | Male | Degree or equivalent | 1
IT strategy and planning prfsnals | Degree or equivalent | 49 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | GCE A level or equivalent | 31 | Female | Other qualification | 0
Marketing and sales managers | GCE A level or equivalent | 31 | Male | Degree or equivalent | 0
Dental nurses | Higher education | 63 | Female | GCSE grades A*-C or equivalent | 0
General office assistants or clerks | GCE A level or equivalent | 47 | Female | GCSE grades A*-C or equivalent | 0
Info & communication technol mngers | Degree or equivalent | 54 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | GCE A level or equivalent | 63 | Female | Other qualification | 0
Occupl hygnists & health sfty offs | Degree or equivalent | 69 | Male | Other qualification | 0
Mngers and prop. In other srvcs NEC | GCSE grades A*-C or equivalent | 54 | Female | Other qualification | 0
Prison serv off (below princ off) | GCSE grades A*-C or equivalent | 54 | Male | Other qualification | 0
Pers training & ind rel mngers | GCSE grades A*-C or equivalent | 51 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Other qualification | 48 | Male | Other qualification | 1
Engineering professionals n.e.c. | Degree or equivalent | 62 | Male | Other qualification | 0
Nursery nurses | GCSE grades A*-C or equivalent | 46 | Female | Other qualification | 0
Telecommunications engineers | GCSE grades A*-C or equivalent | 49 | Male | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 22 | Female | Other qualification | 0
Labrs process & plant opertns nec. | GCSE grades A*-C or equivalent | 18 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 54 | Female | Other qualification | 0
Screen printers | GCE A level or equivalent | 45 | Male | Other qualification | 0
Residential and day care managers | GCE A level or equivalent | 40 | Female | Other qualification | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 18 | Female | GCSE grades A*-C or equivalent | 1
IT operations technicians | GCE A level or equivalent | 22 | Female | Degree or equivalent | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 57 | Female | Other qualification | 0
Restaurant and catering managers | GCSE grades A*-C or equivalent | 28 | Male | Other qualification | 0
Sports and leisure assistants | GCE A level or equivalent | 26 | Male | GCSE grades A*-C or equivalent | 0
Window cleaners | GCSE grades A*-C or equivalent | 24 | Male | Other qualification | 0
Managers in construction | GCE A level or equivalent | 45 | Male | Other qualification | 0
Software professionals | GCE A level or equivalent | 30 | Male | Degree or equivalent | 0
Filng & othr recrds assists & clrks | GCSE grades A*-C or equivalent | 52 | Female | Other qualification | 0
Software professionals | Degree or equivalent | 54 | Male | Degree or equivalent | 1
Sales and retail assistants | GCSE grades A*-C or equivalent | 17 | Male | Other qualification | 0
Plumb, hea & ventilating engineers | Other qualification | 35 | Male | Other qualification | 1
Waiters, waitresses | GCE A level or equivalent | 22 | Male | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 35 | Male | Degree or equivalent | 1
Marketing and sales managers | Degree or equivalent | 34 | Female | Degree or equivalent | 1
Police offcrs (sergeant and below) | Degree or equivalent | 38 | Female | Other qualification | 0
Police offcrs (sergeant and below) | GCE A level or equivalent | 40 | Male | Other qualification | 0
Software professionals | Degree or equivalent | 51 | Male | Degree or equivalent | 1
Transport and distribution managers | GCE A level or equivalent | 36 | Female | Degree or equivalent | 0
Plastics process operatives | Higher education | 39 | Male | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 38 | Female | Degree or equivalent | 1
Oth good hndlng & storage occup nec | GCSE grades A*-C or equivalent | 32 | Male | Other qualification | 0
Car. advis & voction guidnce spcils | GCE A level or equivalent | 34 | Female | Other qualification | 0
Info & communication technol mngers | GCSE grades A*-C or equivalent | 44 | Male | Other qualification | 0
Spec needs educ teaching profs | Degree or equivalent | 28 | Female | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 28 | Male | Other qualification | 0
Sales related occupations n.e.c. | GCSE grades A*-C or equivalent | 64 | Female | Other qualification | 0
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | 65 | Male | Other qualification | 0
Travel agency managers | GCE A level or equivalent | 33 | Female | Degree or equivalent | 0
General office assistants or clerks | GCE A level or equivalent | 30 | Male | GCSE grades A*-C or equivalent | 0
Lab oth const trades n.e.c. | Degree or equivalent | 44 | Male | Other qualification | 0
Nurses | Degree or equivalent | 39 | Female | Degree or equivalent | 1
Housekprs and related occupations | Other qualification | 54 | Female | Other qualification | 1
Upholsterers | Other qualification | 57 | Male | Other qualification | 1
Nurses | Higher education | 27 | Female | Degree or equivalent | 0
Authors, writers | GCSE grades A*-C or equivalent | 59 | Male | Degree or equivalent | 0
Motor mechanics, auto engineers | GCE A level or equivalent | 51 | Male | Other qualification | 0
Housekprs and related occupations | Other qualification | 51 | Female | Other qualification | 1
School secretaries | Degree or equivalent | 58 | Female | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 54 | Female | Other qualification | 0
Stock control clerks | GCSE grades A*-C or equivalent | 65 | Male | Other qualification | 0
Transport and distribution managers | Degree or equivalent | 40 | Female | Degree or equivalent | 1
Medical practitioners | Degree or equivalent | 46 | Male | Other qualification | 0
Production and process engineers | Degree or equivalent | 52 | Male | Degree or equivalent | 1
educal assistants | GCE A level or equivalent | 46 | Female | Degree or equivalent | 0
Plumb, hea & ventilating engineers | GCE A level or equivalent | 19 | Male | Other qualification | 0
Bar staff | GCE A level or equivalent | 17 | Male | Degree or equivalent | 0
Software professionals | Degree or equivalent | 27 | Male | Degree or equivalent | 1
Bricklayers, masons | GCE A level or equivalent | 38 | Male | Other qualification | 0
General office assistants or clerks | GCSE grades A*-C or equivalent | 33 | Female | GCSE grades A*-C or equivalent | 1
Solic & lawyers, judges & coroners | Degree or equivalent | 42 | Female | Other qualification | 0
Security guards and rel occupations | Other qualification | 42 | Male | Other qualification | 1
Civil engineers | Other qualification | 46 | Male | GCSE grades A*-C or equivalent | 0
Nurses | Higher education | 61 | Female | Degree or equivalent | 0
Security guards and rel occupations | GCE A level or equivalent | 66 | Male | Other qualification | 0
Construction operatives n.e.c. | GCSE grades A*-C or equivalent | 37 | Male | Other qualification | 0
Software professionals | Degree or equivalent | 37 | Male | Degree or equivalent | 1
General office assistants or clerks | GCE A level or equivalent | 30 | Female | GCSE grades A*-C or equivalent | 0
Office managers | GCE A level or equivalent | 51 | Female | Degree or equivalent | 0
Sales and retail assistants | GCE A level or equivalent | 20 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 17 | Male | Other qualification | 0
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 63 | Female | Other qualification | 0
Marketing and sales managers | GCE A level or equivalent | 41 | Male | Degree or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 39 | Female | GCSE grades A*-C or equivalent | 0
Design and development engineers | Degree or equivalent | 43 | Male | Degree or equivalent | 1
Financial institution managers | GCSE grades A*-C or equivalent | 40 | Male | Degree or equivalent | 0
Post wrkr, mail sort, msngr, courir | GCSE grades A*-C or equivalent | 31 | Male | Other qualification | 0
Electronics engineers | Degree or equivalent | 35 | Male | Degree or equivalent | 1
Software professionals | GCE A level or equivalent | 22 | Male | Degree or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 28 | Female | GCSE grades A*-C or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 27 | Male | GCSE grades A*-C or equivalent | 0
Pers training & ind rel mngers | Degree or equivalent | 26 | Female | Other qualification | 0
Managers in mining and energy | GCSE grades A*-C or equivalent | 28 | Male | Other qualification | 0
Electronics engineers | Higher education | 26 | Male | Degree or equivalent | 0
Software professionals | Degree or equivalent | 28 | Male | Degree or equivalent | 1
Medical practitioners | Degree or equivalent | 28 | Male | Other qualification | 0
Higher educ teaching prfsnals | GCE A level or equivalent | 24 | Female | Other qualification | 0
Retail and wholesale managers | GCE A level or equivalent | 34 | Male | Degree or equivalent | 0
Personal assists & othr secretaries | GCE A level or equivalent | 34 | Female | Other qualification | 0
Prod. works & maintenance managers | GCE A level or equivalent | 38 | Male | Other qualification | 0
Filng & othr recrds assists & clrks | GCE A level or equivalent | 33 | Female | Other qualification | 0
Counter clerks | Degree or equivalent | 24 | Male | Other qualification | 0
Local gov clerical offs & assists | Higher education | 25 | Female | Other qualification | 0
Sports coaches, instruc & officials | GCSE grades A*-C or equivalent | 32 | Female | Other qualification | 0
Transport and distribution clerks | GCSE grades A*-C or equivalent | 46 | Male | Other qualification | 0
Info & communication technol mngers | Degree or equivalent | 47 | Female | Other qualification | 0
Info & communication technol mngers | GCSE grades A*-C or equivalent | 47 | Male | Other qualification | 0
Cleaners, domestics | Other qualification | 67 | Male | Other qualification | 1
Senior officials in local gov | Higher education | 65 | Female | Other qualification | 0
Hairdressers, barbers | GCE A level or equivalent | 28 | Female | GCSE grades A*-C or equivalent | 0
Retail and wholesale managers | GCSE grades A*-C or equivalent | 35 | Male | Degree or equivalent | 0
Info & communication technol mngers | GCSE grades A*-C or equivalent | 47 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | GCSE grades A*-C or equivalent | 54 | Female | Other qualification | 0
Purchasing managers | Degree or equivalent | 53 | Male | GCSE grades A*-C or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 49 | Female | GCSE grades A*-C or equivalent | 0
Nursing auxiliaries and assistants | GCE A level or equivalent | 50 | Female | Other qualification | 0
Motor mechanics, auto engineers | Higher education | 54 | Male | Other qualification | 0
Product, clothing & related dsgners | GCSE grades A*-C or equivalent | 56 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 20 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 19 | Female | Other qualification | 0
Routine inspectors and testers | GCE A level or equivalent | 26 | Male | Other qualification | 0
Gardeners and grounds(wo)men | GCE A level or equivalent | 48 | Male | Other qualification | 0
Receptionists | Other qualification | 42 | Female | Other qualification | 1
Sales and retail assistants | GCE A level or equivalent | 25 | Female | Other qualification | 0
Paper and wood machine operatives | GCSE grades A*-C or equivalent | 48 | Male | Other qualification | 0
Painters and decorators | GCSE grades A*-C or equivalent | 57 | Male | Other qualification | 0
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 54 | Female | Other qualification | 0
Info & communication technol mngers | Degree or equivalent | 49 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | GCE A level or equivalent | 39 | Female | Other qualification | 0
Marketing and sales managers | GCE A level or equivalent | 45 | Male | Degree or equivalent | 0
Leisure and theme park attendants | Other qualification | 16 | Female | Other qualification | 1
Design and development engineers | Higher education | 39 | Male | Degree or equivalent | 0
Nurses | Higher education | 44 | Female | Degree or equivalent | 0
Bus and coach drivers | Other qualification | 45 | Male | Other qualification | 1
Sales and retail assistants | Other qualification | 61 | Female | Other qualification | 1
Leisure and sports managers | GCSE grades A*-C or equivalent | 24 | Female | Degree or equivalent | 0
Researchers n.e.c. | Degree or equivalent | 23 | Male | Other qualification | 0
Database assistants & clerks | Degree or equivalent | 40 | Female | Other qualification | 0
Medical and dental technicians | Higher education | 46 | Male | Other qualification | 0
Inspcts fact, utils & trdng stndrds | GCSE grades A*-C or equivalent | 52 | Male | Other qualification | 0
Nursery nurses | GCE A level or equivalent | 20 | Female | Other qualification | 0
Medical secretaries | Higher education | 47 | Female | GCSE grades A*-C or equivalent | 0
General office assistants or clerks | Other qualification | 51 | Male | GCSE grades A*-C or equivalent | 0
Social workers | Degree or equivalent | 46 | Female | Degree or equivalent | 1
Office managers | GCE A level or equivalent | 18 | Male | Degree or equivalent | 0
Storage and warehouse managers | GCSE grades A*-C or equivalent | 37 | Female | Other qualification | 0
Security guards and rel occupations | Other qualification | 36 | Male | Other qualification | 1
Chefs, cooks | Other qualification | 39 | Male | Other qualification | 1
Spec needs educ teaching profs | Degree or equivalent | 46 | Female | Other qualification | 0
IT strategy and planning prfsnals | Degree or equivalent | 42 | Male | Other qualification | 0
Transport and distribution managers | GCSE grades A*-C or equivalent | 42 | Male | Degree or equivalent | 0
Sen. officials spec interest orgs | GCSE grades A*-C or equivalent | 48 | Male | Other qualification | 0
Medical and dental technicians | Higher education | 46 | Female | Other qualification | 0
Receptionists | GCE A level or equivalent | 56 | Female | Other qualification | 0
Storage and warehouse managers | GCSE grades A*-C or equivalent | 59 | Male | Other qualification | 0
Fitness instructors | Higher education | 24 | Male | Other qualification | 0
Authors, writers | GCE A level or equivalent | 60 | Male | Degree or equivalent | 0
Mngers and prop. In other srvcs NEC | GCSE grades A*-C or equivalent | 40 | Male | Other qualification | 0
Merchandisers and window dressers | GCE A level or equivalent | 54 | Female | Other qualification | 0
Electricians, electrical fitters | GCE A level or equivalent | 58 | Male | Other qualification | 0
Retail and wholesale managers | Degree or equivalent | 23 | Female | Degree or equivalent | 1
Care assistants and home carers | Other qualification | 58 | Female | Other qualification | 1
Info & communication technol mngers | Degree or equivalent | 27 | Male | Other qualification | 0
Security guards and rel occupations | GCSE grades A*-C or equivalent | 41 | Male | Other qualification | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 36 | Female | Other qualification | 0
Customer care occupations | GCE A level or equivalent | 32 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | Degree or equivalent | 31 | Male | Other qualification | 0
Gardeners and grounds(wo)men | GCE A level or equivalent | 63 | Male | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 42 | Female | Other qualification | 0
Production and process engineers | GCSE grades A*-C or equivalent | 45 | Male | Degree or equivalent | 0
educal assistants | GCSE grades A*-C or equivalent | 36 | Female | Degree or equivalent | 0
Nurses | Higher education | 55 | Female | Degree or equivalent | 0
Mtl working prod & maintnce fitter | Other qualification | 56 | Male | Other qualification | 1
Marketing and sales managers | Higher education | 22 | Female | Degree or equivalent | 0
Mngmnt cons, actuar, econs & statn | GCE A level or equivalent | 29 | Male | Other qualification | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 32 | Female | GCSE grades A*-C or equivalent | 0
Hairdressers, barbers | GCE A level or equivalent | 39 | Male | GCSE grades A*-C or equivalent | 0
Sales representatives | GCSE grades A*-C or equivalent | 60 | Female | Other qualification | 0
Research and development managers | Degree or equivalent | 53 | Male | Degree or equivalent | 1
Veterinarians | Degree or equivalent | 44 | Female | Other qualification | 0
IT operations technicians | Degree or equivalent | 55 | Male | Degree or equivalent | 1
Software professionals | Degree or equivalent | 25 | Male | Degree or equivalent | 1
Office managers | Other qualification | 56 | Female | Degree or equivalent | 0
Mtl mkng & treating procss operatve | Other qualification | 52 | Male | Other qualification | 1
Business & related assoc profs nec. | GCE A level or equivalent | 33 | Female | Other qualification | 0
Bakers, flour confectioners | Other qualification | 38 | Male | Other qualification | 1
General office assistants or clerks | GCSE grades A*-C or equivalent | 59 | Female | GCSE grades A*-C or equivalent | 1
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | 57 | Male | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 49 | Female | Other qualification | 0
Labrers build & woodworking trades | GCSE grades A*-C or equivalent | 27 | Male | Other qualification | 0
Fin. & invest. analyst & advisers | Degree or equivalent | 27 | Female | Other qualification | 0
Financial institution managers | Degree or equivalent | 41 | Male | Degree or equivalent | 1
Playgroup leaders & assistants | GCE A level or equivalent | 36 | Female | Other qualification | 0
Managers in construction | Degree or equivalent | 23 | Male | Other qualification | 0
Authors, writers | Degree or equivalent | 24 | Female | Degree or equivalent | 1
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 46 | Female | Other qualification | 0
Prod. works & maintenance managers | GCE A level or equivalent | 35 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 32 | Female | Other qualification | 0
Office managers | Degree or equivalent | 38 | Male | Degree or equivalent | 1
Pers training & ind rel mngers | Degree or equivalent | 36 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 51 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 17 | Male | Other qualification | 0
General office assistants or clerks | GCE A level or equivalent | 46 | Female | GCSE grades A*-C or equivalent | 0
Prod. works & maintenance managers | Degree or equivalent | 49 | Male | Other qualification | 0
Waiters, waitresses | GCSE grades A*-C or equivalent | 18 | Female | Other qualification | 0
Quality assurance managers | GCSE grades A*-C or equivalent | 58 | Male | Degree or equivalent | 0
Care assistants and home carers | Other qualification | 52 | Female | Other qualification | 1
Sales and retail assistants | Degree or equivalent | 23 | Female | Other qualification | 0
Purchasing managers | Degree or equivalent | 51 | Male | GCSE grades A*-C or equivalent | 0
Prod. works & maintenance managers | Degree or equivalent | 47 | Male | Other qualification | 0
Directors & chief execs of maj orgs | Degree or equivalent | 45 | Female | Other qualification | 0
educal assistants | GCE A level or equivalent | 55 | Female | Degree or equivalent | 0
Marketing and sales managers | GCE A level or equivalent | 54 | Male | Degree or equivalent | 0
Software professionals | Degree or equivalent | 55 | Male | Degree or equivalent | 1
Environmental health officers | Degree or equivalent | 53 | Female | Degree or equivalent | 1
General office assistants or clerks | GCSE grades A*-C or equivalent | 19 | Female | GCSE grades A*-C or equivalent | 1
Waiters, waitresses | GCE A level or equivalent | 16 | Female | Other qualification | 0
Property, housing and land managers | Other qualification | 48 | Female | Other qualification | 1
Prod. works & maintenance managers | Degree or equivalent | 57 | Male | Other qualification | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 52 | Female | Other qualification | 0
Mtl working prod & maintnce fitter | Degree or equivalent | 57 | Male | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 20 | Female | GCSE grades A*-C or equivalent | 0
Sales and retail assistants | GCE A level or equivalent | 20 | Male | Other qualification | 0
Kitchen and catering assistants | GCE A level or equivalent | 21 | Male | GCSE grades A*-C or equivalent | 0
Marketing and sales managers | GCE A level or equivalent | 35 | Male | Degree or equivalent | 0
Social services managers | Degree or equivalent | 30 | Female | Other qualification | 0
IT operations technicians | GCE A level or equivalent | 53 | Male | Degree or equivalent | 0
Legal secretaries | Other qualification | 51 | Female | Other qualification | 1
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | 57 | Male | Other qualification | 0
Business & related assoc profs nec. | Degree or equivalent | 46 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 46 | Female | GCSE grades A*-C or equivalent | 0
Van drivers | Degree or equivalent | 45 | Female | Other qualification | 0
Marketing and sales managers | GCSE grades A*-C or equivalent | 46 | Male | Degree or equivalent | 0
Air travel assistants | GCE A level or equivalent | 43 | Female | Other qualification | 0
Public serv associate professionals | Degree or equivalent | 46 | Female | Other qualification | 0
Managers in construction | Degree or equivalent | 46 | Female | Other qualification | 0
Town planners | Degree or equivalent | 40 | Male | Degree or equivalent | 1
Hospital porters | Other qualification | 53 | Male | Other qualification | 1
Psychologists | Degree or equivalent | 52 | Male | Degree or equivalent | 1
educal assistants | Degree or equivalent | 53 | Female | Degree or equivalent | 1
Customer care managers | Degree or equivalent | 32 | Female | Degree or equivalent | 1
Prod. works & maintenance managers | Degree or equivalent | 30 | Male | Other qualification | 0
Housing and welfare officers | Degree or equivalent | 27 | Female | Degree or equivalent | 1
Electricians, electrical fitters | GCE A level or equivalent | 27 | Male | Other qualification | 0
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | 34 | Male | Other qualification | 0
Hairdressers, barbers | GCSE grades A*-C or equivalent | 34 | Female | GCSE grades A*-C or equivalent | 1
Retail and wholesale managers | Degree or equivalent | 51 | Female | Degree or equivalent | 1
Bar staff | GCSE grades A*-C or equivalent | 50 | Female | Degree or equivalent | 0
Police offcrs (sergeant and below) | Degree or equivalent | 53 | Male | Other qualification | 0
General office assistants or clerks | Other qualification | 63 | Male | GCSE grades A*-C or equivalent | 0
Probation officers | Degree or equivalent | 55 | Female | Degree or equivalent | 1
Sports coaches, instruc & officials | GCE A level or equivalent | 21 | Female | Other qualification | 0
Police offcrs (sergeant and below) | GCE A level or equivalent | 48 | Male | Other qualification | 0
educal assistants | GCE A level or equivalent | 43 | Female | Degree or equivalent | 0
Mngmnt cons, actuar, econs & statn | GCSE grades A*-C or equivalent | 54 | Male | Other qualification | 0
Car. advis & voction guidnce spcils | Higher education | 51 | Female | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 60 | Female | GCSE grades A*-C or equivalent | 0
Office managers | GCSE grades A*-C or equivalent | 57 | Female | Degree or equivalent | 0
General office assistants or clerks | Higher education | 44 | Female | GCSE grades A*-C or equivalent | 0
Electricians, electrical fitters | GCE A level or equivalent | 43 | Male | Other qualification | 0
Heavy goods vehicle drivers | Degree or equivalent | 62 | Male | Other qualification | 0
Local gov clerical offs & assists | GCSE grades A*-C or equivalent | 62 | Female | Other qualification | 0
Sales related occupations n.e.c. | Degree or equivalent | 47 | Female | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 17 | Female | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 24 | Female | Other qualification | 0
Actors, entertainers | Degree or equivalent | 22 | Male | Other qualification | 0
Food, drink & tobac process operat | GCSE grades A*-C or equivalent | 24 | Female | Other qualification | 0
General office assistants or clerks | GCSE grades A*-C or equivalent | 57 | Female | GCSE grades A*-C or equivalent | 1
Legal secretaries | GCE A level or equivalent | 48 | Female | Other qualification | 0
Oth good hndlng & storage occup nec | GCE A level or equivalent | 48 | Male | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 56 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | GCE A level or equivalent | 59 | Male | Other qualification | 0
Insurance underwriters | Degree or equivalent | 33 | Female | Degree or equivalent | 1
Local gov clerical offs & assists | GCE A level or equivalent | 38 | Male | Other qualification | 0
Housing and welfare officers | Degree or equivalent | 54 | Male | Degree or equivalent | 1
Legal associate professionals | GCE A level or equivalent | 51 | Female | Other qualification | 0
Spec needs educ teaching profs | GCE A level or equivalent | 30 | Female | Other qualification | 0
Graphic designers | Degree or equivalent | 32 | Male | Degree or equivalent | 1
Natural environ & cons managers | Degree or equivalent | 36 | Male | Other qualification | 0
Physts, geologists & meteorologists | Degree or equivalent | 36 | Female | Other qualification | 0
Public service administrative profs | GCSE grades A*-C or equivalent | 55 | Male | Other qualification | 0
Agricultural machinery drivers | GCE A level or equivalent | 30 | Male | Other qualification | 0
Fin. & invest. analyst & advisers | Degree or equivalent | 41 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 68 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 26 | Male | Other qualification | 0
Receptionists | Degree or equivalent | 23 | Female | Other qualification | 0
Undertakers and mortuary assistants | GCE A level or equivalent | 77 | Male | Other qualification | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 61 | Female | Other qualification | 0
Bus and coach drivers | GCSE grades A*-C or equivalent | 65 | Male | Other qualification | 0
Engineering technicians | Degree or equivalent | 39 | Male | GCSE grades A*-C or equivalent | 0
Social workers | Degree or equivalent | 48 | Female | Degree or equivalent | 1
Sports coaches, instruc & officials | Higher education | 54 | Male | Other qualification | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 17 | Female | GCSE grades A*-C or equivalent | 1
Filng & othr recrds assists & clrks | Other qualification | 48 | Female | Other qualification | 1
Marketing and sales managers | Degree or equivalent | 49 | Male | Degree or equivalent | 1
Fin. & invest. analyst & advisers | GCE A level or equivalent | 42 | Female | Other qualification | 0
Mobile machine drivers & operatives | Other qualification | 48 | Male | Other qualification | 1
Engineering professionals n.e.c. | GCSE grades A*-C or equivalent | 53 | Male | Other qualification | 0
General office assistants or clerks | GCSE grades A*-C or equivalent | 51 | Female | GCSE grades A*-C or equivalent | 1
Residential and day care managers | Higher education | 38 | Female | Other qualification | 0
Heavy goods vehicle drivers | Other qualification | 53 | Male | Other qualification | 1
Bakers, flour confectioners | Other qualification | 49 | Male | Other qualification | 1
Playgroup leaders & assistants | GCSE grades A*-C or equivalent | 49 | Female | Other qualification | 0
Retail cashiers/check-out operators | GCE A level or equivalent | 21 | Female | Other qualification | 0
educal assistants | GCSE grades A*-C or equivalent | 38 | Female | Degree or equivalent | 0
Social services managers | Degree or equivalent | 63 | Female | Other qualification | 0
Paper and wood machine operatives | GCSE grades A*-C or equivalent | 34 | Male | Other qualification | 0
Local gov clerical offs & assists | Other qualification | 29 | Female | Other qualification | 1
Air travel assistants | GCSE grades A*-C or equivalent | 65 | Female | Other qualification | 0
Social workers | Degree or equivalent | 26 | Female | Degree or equivalent | 1
Glaziers, window fabric and fitters | GCSE grades A*-C or equivalent | 29 | Male | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 39 | Female | Degree or equivalent | 1
Engineering technicians | GCE A level or equivalent | 38 | Male | GCSE grades A*-C or equivalent | 0
Medical and dental technicians | GCE A level or equivalent | 46 | Female | Other qualification | 0
Motor mechanics, auto engineers | GCE A level or equivalent | 26 | Male | Other qualification | 0
Call centre agents & operators | GCE A level or equivalent | 23 | Female | Other qualification | 0
Taxation experts | Degree or equivalent | 45 | Male | Other qualification | 0
Civil Serv admin offcrs and assists | Degree or equivalent | 38 | Female | Other qualification | 0
Hospital and health service mngers | Degree or equivalent | 48 | Male | Other qualification | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 49 | Male | GCSE grades A*-C or equivalent | 0
Call centre agents & operators | Degree or equivalent | 50 | Female | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 46 | Male | Other qualification | 0
Air traffic controllers | Degree or equivalent | 47 | Female | Other qualification | 0
Security guards and rel occupations | Other qualification | 45 | Male | Other qualification | 1
Cleaners, domestics | Other qualification | 41 | Female | Other qualification | 1
Bar staff | GCSE grades A*-C or equivalent | 63 | Female | Degree or equivalent | 0
Bus and coach drivers | Other qualification | 54 | Male | Other qualification | 1
