Job Title | Survey | Online
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Occupl hygnists  health sfty offs | Degree or equivalent | Other qualification
Buyers and purchasing officers | Degree or equivalent | Other qualification
Fire serv off leading off  below | GCE A level or equivalent | Other qualification
Chartered and certified accountants | GCE A level or equivalent | Degree or equivalent
Residential and day care managers | Degree or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Routine inspectors and testers | Other qualification | Other qualification
Caretakers | GCE A level or equivalent | Other qualification
IT strategy and planning prfsnals | Higher education | Other qualification
Telecommunications engineers | GCE A level or equivalent | Other qualification
Prec instrument makers  repairers | GCSE grades A*-C or equivalent | Other qualification
Debt rent and other cash collectrs | Other qualification | Other qualification
Prec instrument makers  repairers | Other qualification | Other qualification
Science  eng technicians nec | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Security guards and rel occupations | Other qualification | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Retail and wholesale managers | Other qualification | Degree or equivalent
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Nursing auxiliaries and assistants | Higher education | Other qualification
Van drivers | Degree or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Managers in construction | GCE A level or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Security guards and rel occupations | Higher education | Other qualification
Nursery nurses | Degree or equivalent | Other qualification
Fitness instructors | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | Higher education | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Mtl working prod  maintnce fitter | Other qualification | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Product clothing  related dsgners | Higher education | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Pest control officers | GCSE grades A*-C or equivalent | Other qualification
Stock control clerks | Higher education | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Stevadores dockers and slingers | Other qualification | Other qualification
Personal assists  othr secretaries | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Heavy goods vehicle drivers | Other qualification | Other qualification
Personal assists  othr secretaries | GCE A level or equivalent | Other qualification
Electrical engineers | Degree or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
Engineering technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Caretakers | GCE A level or equivalent | Other qualification
Chefs cooks | Other qualification | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Filng  othr recrds assists  clrks | GCE A level or equivalent | Other qualification
Storage and warehouse managers | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Laboratory technicians | GCE A level or equivalent | GCSE grades A*-C or equivalent
Mechanical engineers | Degree or equivalent | Degree or equivalent
Physiotherapists | Degree or equivalent | Other qualification
Snr officers fire amb prson et al | GCE A level or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Comp engineer installn  maintnce | Other qualification | Other qualification
Metal working machine operatives | Other qualification | Other qualification
Mngers and prop In other srvcs NEC | GCSE grades A*-C or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Electrical engineers | Degree or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
Managers in construction | GCE A level or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Assemblers and routine oprtves nec | Other qualification | Other qualification
Managers in construction | GCE A level or equivalent | Other qualification
Police offcrs sergeant and below | Higher education | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | Higher education | Other qualification
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Software professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Legal associate professionals | GCSE grades A*-C or equivalent | Other qualification
Personnel  ind relations offs | GCE A level or equivalent | Other qualification
Call centre agents  operators | GCE A level or equivalent | Other qualification
Plasterers | GCE A level or equivalent | Other qualification
Mngers and prop In other srvcs NEC | GCSE grades A*-C or equivalent | Other qualification
Oth good hndlng  storage occup nec | Higher education | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Youth and community workers | Degree or equivalent | Degree or equivalent
Van drivers | Other qualification | Other qualification
Van drivers | GCE A level or equivalent | Other qualification
Brokers | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Plumb hea  ventilating engineers | GCE A level or equivalent | Other qualification
Info  communication technol mngers | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Customer care occupations | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Routine inspectors and testers | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | Other qualification | Other qualification
Telephone salespersons | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Dental nurses | GCE A level or equivalent | GCSE grades A*-C or equivalent
Taxation experts | GCSE grades A*-C or equivalent | Other qualification
Customer care managers | GCE A level or equivalent | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Filng  othr recrds assists  clrks | Degree or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Marketing associate professionals | Higher education | Degree or equivalent
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Info  communication technol mngers | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
IT strategy and planning prfsnals | Higher education | Other qualification
Personnel  ind relations offs | Degree or equivalent | Other qualification
Storage and warehouse managers | Degree or equivalent | Other qualification
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Civil Service executive officers | GCE A level or equivalent | Other qualification
Hospital porters | GCSE grades A*-C or equivalent | Other qualification
Laboratory technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Customer care managers | Degree or equivalent | Degree or equivalent
Telecommunications engineers | GCE A level or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCE A level or equivalent | Other qualification
Pensions and insurance clrks | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | GCSE grades A*-C or equivalent | Degree or equivalent
Sales representatives | GCSE grades A*-C or equivalent | Other qualification
Protective servcs assoc prfsnls NEC | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Fin  invest analyst  advisers | Degree or equivalent | Other qualification
Transport and distribution managers | Degree or equivalent | Degree or equivalent
Pensions and insurance clrks | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
Production and process engineers | GCE A level or equivalent | Degree or equivalent
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Mngers and prop In other srvcs NEC | GCE A level or equivalent | Other qualification
Legal associate professionals | Degree or equivalent | Other qualification
Construction trades nec | GCSE grades A*-C or equivalent | Other qualification
IT user support technicians | GCSE grades A*-C or equivalent | Degree or equivalent
Protective servcs assoc prfsnls NEC | GCSE grades A*-C or equivalent | Other qualification
Nursery nurses | GCE A level or equivalent | Other qualification
Officers nongov organisations | Degree or equivalent | Other qualification
Nurses | GCE A level or equivalent | Degree or equivalent
IT operations technicians | GCE A level or equivalent | Degree or equivalent
Medical secretaries | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Inspcts fact utils  trdng stndrds | Degree or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Filng  othr recrds assists  clrks | Degree or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Housekprs and related occupations | Other qualification | Other qualification
Credit controllers | GCSE grades A*-C or equivalent | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Software professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Origntrs compositors  print preps | GCE A level or equivalent | Other qualification
Retail cashierscheckout operators | Other qualification | Other qualification
Security guards and rel occupations | GCSE grades A*-C or equivalent | Other qualification
Heavy goods vehicle drivers | Other qualification | Other qualification
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Officers nongov organisations | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Counter clerks | GCSE grades A*-C or equivalent | Other qualification
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Personal assists  othr secretaries | GCSE grades A*-C or equivalent | Other qualification
Engineering technicians | GCE A level or equivalent | GCSE grades A*-C or equivalent
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
educ officersschool inspectrs | Degree or equivalent | Other qualification
Public serv associate professionals | Degree or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Sports and fitness occupations nec | Degree or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Food drink  tobac process operat | GCSE grades A*-C or equivalent | Other qualification
Hairdrs  beauty slon mngr  props | Other qualification | Other qualification
Transport operatives nec | GCE A level or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Electrical engineers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales representatives | GCE A level or equivalent | Other qualification
Routine inspectors and testers | Other qualification | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Security managers | GCE A level or equivalent | Degree or equivalent
Local gov clerical offs  assists | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Nursery nurses | Degree or equivalent | Other qualification
Sales representatives | Degree or equivalent | Other qualification
Mtl working prod  maintnce fitter | Degree or equivalent | Other qualification
Officers in armed forces | Other qualification | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Motor mechanics auto engineers | GCSE grades A*-C or equivalent | Other qualification
Mngers and prop In other srvcs NEC | Other qualification | Other qualification
Civil Serv admin offcrs and assists | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Bar staff | GCE A level or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Housekprs and related occupations | Other qualification | Other qualification
Caretakers | Other qualification | Other qualification
Housekprs and related occupations | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Police offcrs sergeant and below | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Nurses | Higher education | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Caretakers | GCSE grades A*-C or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Farm workers | GCE A level or equivalent | Other qualification
Brokers | GCE A level or equivalent | Other qualification
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
IT user support technicians | GCE A level or equivalent | Degree or equivalent
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Info  communication technol mngers | Higher education | Other qualification
Graphic designers | Higher education | Degree or equivalent
Fin  invest analyst  advisers | GCSE grades A*-C or equivalent | Other qualification
Lines repairers and cable jointers | GCSE grades A*-C or equivalent | Other qualification
Social services managers | Degree or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Sales representatives | Degree or equivalent | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Beauticians and related occupations | Other qualification | Other qualification
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Managers in construction | Other qualification | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Animal care occupations nec | GCSE grades A*-C or equivalent | Other qualification
Spec needs educ teaching profs | GCE A level or equivalent | Other qualification
Construction trades nec | Other qualification | Other qualification
Occupational therapists | Degree or equivalent | Degree or equivalent
Sales and retail assistants | Other qualification | Other qualification
NCOs and other ranks | GCSE grades A*-C or equivalent | Other qualification
Chartered and certified accountants | Degree or equivalent | Degree or equivalent
Software professionals | Other qualification | Degree or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Managers in construction | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Sports coaches instruc  officials | Degree or equivalent | Other qualification
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
Sports coaches instruc  officials | GCE A level or equivalent | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Personal assists  othr secretaries | GCSE grades A*-C or equivalent | Other qualification
Rail travel assistants | Other qualification | Other qualification
Construction operatives nec | Degree or equivalent | Other qualification
School midday assistants | Degree or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Retail cashierscheckout operators | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | Higher education | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nurses | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Glass and ceramics process oprties | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Customer care occupations | GCE A level or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
IT operations technicians | Higher education | Degree or equivalent
Secondary eductn teaching prfsnals | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Sports and fitness occupations nec | Higher education | Other qualification
Elec  electronic engineer nec | GCE A level or equivalent | Other qualification
Bus and coach drivers | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Hairdressers barbers | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Bar staff | Higher education | Degree or equivalent
Design and development engineers | Degree or equivalent | Degree or equivalent
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Hospital and health service mngers | Higher education | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Managers in construction | Higher education | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Managers in construction | Degree or equivalent | Other qualification
Pers training  ind rel mngers | Degree or equivalent | Other qualification
Marketing and sales managers | Higher education | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Database assistants  clerks | GCSE grades A*-C or equivalent | Other qualification
Bus and coach drivers | GCSE grades A*-C or equivalent | Other qualification
Call centre agents  operators | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
Caretakers | Other qualification | Other qualification
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Houseprnts and residential wardens | Degree or equivalent | Other qualification
Call centre agents  operators | Other qualification | Other qualification
Pensions and insurance clrks | GCSE grades A*-C or equivalent | Other qualification
Elementary office occupatns nec | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
NCOs and other ranks | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Civil Service executive officers | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Prod works  maintenance managers | GCE A level or equivalent | Other qualification
Financial and accounting techs | Degree or equivalent | Other qualification
School midday assistants | GCSE grades A*-C or equivalent | Other qualification
Bar staff | Degree or equivalent | Degree or equivalent
Upholsterers | Other qualification | Other qualification
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Vehicle spray painters | GCE A level or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
Science  eng technicians nec | Higher education | Other qualification
Science  eng technicians nec | GCE A level or equivalent | Other qualification
Conference and exhibition managers | GCE A level or equivalent | Other qualification
Draughtspersons | Higher education | Degree or equivalent
Construction trades nec | Degree or equivalent | Other qualification
Labrers build  woodworking trades | GCE A level or equivalent | Other qualification
Sports coaches instruc  officials | GCE A level or equivalent | Other qualification
Forklift truck drivers | GCE A level or equivalent | Other qualification
Pharmaceutical dispensers | Other qualification | Degree or equivalent
Local gov clerical offs  assists | GCE A level or equivalent | Other qualification
Civil Serv admin offcrs and assists | Degree or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Plumb hea  ventilating engineers | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCE A level or equivalent | Other qualification
Paramedics | GCE A level or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Financial institution managers | Degree or equivalent | Degree or equivalent
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Mngr anml hsbndry frst fish nec | GCSE grades A*-C or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Financial institution managers | Other qualification | Degree or equivalent
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Fin  invest analyst  advisers | Degree or equivalent | Other qualification
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Nursery nurses | GCE A level or equivalent | Other qualification
Property housing and land managers | Degree or equivalent | Other qualification
Managers in construction | GCSE grades A*-C or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
Security guards and rel occupations | GCSE grades A*-C or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Brokers | GCE A level or equivalent | Other qualification
Laboratory technicians | Degree or equivalent | GCSE grades A*-C or equivalent
Motor mechanics auto engineers | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Draughtspersons | GCE A level or equivalent | Degree or equivalent
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Software professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Restaurant and catering managers | GCSE grades A*-C or equivalent | Other qualification
Agricult and fishing trades nec | Other qualification | Other qualification
Chartrd surveyors not qntity surv | Degree or equivalent | Other qualification
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Van drivers | GCE A level or equivalent | Other qualification
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Assemblers electrical products | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Elec  electronic engineer nec | Higher education | Other qualification
Sales and retail assistants | Other qualification | Other qualification
School secretaries | GCE A level or equivalent | Other qualification
Occupl hygnists  health sfty offs | Degree or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Dental nurses | Higher education | GCSE grades A*-C or equivalent
Broadcasting associate prfssnals | GCE A level or equivalent | Degree or equivalent
Taxi cab drivers and chauffeurs | GCSE grades A*-C or equivalent | Other qualification
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Local gov clerical offs  assists | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Labrers build  woodworking trades | Other qualification | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
TV video and audio engineers | Degree or equivalent | Other qualification
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Waiters waitresses | GCE A level or equivalent | Other qualification
Civil engineers | Degree or equivalent | GCSE grades A*-C or equivalent
Receptionists | Higher education | Other qualification
Youth and community workers | Higher education | Degree or equivalent
Financial institution managers | GCSE grades A*-C or equivalent | Degree or equivalent
Animal care occupations nec | GCSE grades A*-C or equivalent | Other qualification
Police offcrs sergeant and below | GCE A level or equivalent | Other qualification
Security managers | GCSE grades A*-C or equivalent | Degree or equivalent
Social services managers | Degree or equivalent | Other qualification
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Heavy goods vehicle drivers | Other qualification | Other qualification
Leisure and theme park attendants | GCSE grades A*-C or equivalent | Other qualification
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Security guards and rel occupations | GCE A level or equivalent | Other qualification
Refuse and salvage occupations | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | Degree or equivalent | Other qualification
Office managers | Other qualification | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Pensions and insurance clrks | Higher education | Other qualification
Occupational therapists | Degree or equivalent | Degree or equivalent
Construction trades nec | Other qualification | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Lines repairers and cable jointers | GCE A level or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Laboratory technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Medical secretaries | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Pers training  ind rel mngers | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | Degree or equivalent | Other qualification
Office managers | GCE A level or equivalent | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Fire serv off leading off  below | GCE A level or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Sales representatives | GCE A level or equivalent | Other qualification
Legal associate professionals | GCSE grades A*-C or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | Higher education | Other qualification
Chartered and certified accountants | GCE A level or equivalent | Degree or equivalent
Gardeners and groundswomen | GCSE grades A*-C or equivalent | Other qualification
Residential and day care managers | Higher education | Other qualification
Managers in construction | GCE A level or equivalent | Other qualification
Estimators valuers and assessors | Degree or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Elmntry persnal servcs occup nec | Other qualification | Other qualification
Plumb hea  ventilating engineers | GCSE grades A*-C or equivalent | Other qualification
Conference and exhibition managers | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Garage managers and proprietors | Other qualification | Other qualification
Pers training  ind rel mngers | Degree or equivalent | Other qualification
Healthcare practice managers | GCE A level or equivalent | Degree or equivalent
Property housing and land managers | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Nursery nurses | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nursery nurses | GCSE grades A*-C or equivalent | Other qualification
IT operations technicians | Higher education | Degree or equivalent
Van drivers | GCE A level or equivalent | Other qualification
Welding trades | Other qualification | Other qualification
Arts officrs prdcers and directors | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
